cable_key,risk_score,max_lp_risk,landing_points,risk_tier
id-dhiraagu-slt-submarine-cable-network,30.90981727420907,30.90981727420907,2,8
id-gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,30.9069026559382,14.198764944313178,9,8
id-south-pacific-cable-system-spcsmistral,30.488854937486416,15.334136860834025,5,8
id-cook-strait,30.472109359575718,17.390517943254537,2,8
id-emc-west-1,30.039836732757426,8.978922431298228,5,8
id-transworld-tw1,29.126486045239922,27.635614233635437,3,8
id-med-cable-network,29.123161945860964,24.71324238479803,4,8
id-kanawa,29.102930063476837,29.102930063476837,2,8
id-maldives-sri-lanka-cable-msc,29.040481123993775,29.040481123993775,2,8
id-confluence-1,27.832475165933413,23.55506967695464,5,8
id-maya-1,27.785037234377484,7.2557740960823445,7,8
id-alba-1,27.764391001357183,10.658096111907865,4,8
id-faster,27.539318292197592,19.118751206724557,4,8
id-yui,26.82647654749933,26.82647654749933,4,8
id-cambodia-hong-kong,26.821589896927044,26.736444712312867,2,8
id-bahamas-domestic-submarine-network-bdsni,26.452141629571557,26.452141629571557,15,8
id-alpal-2,26.3685548431582,21.03511040084254,2,8
id-kafos,26.151488719421366,10.843857097577603,4,8
id-okinawa-cellular-cable,25.94592872710598,21.86012767029622,2,8
id-bridge-one,25.661785260395582,13.616338462563805,2,8
id-kitadaito-island,25.104713462858033,25.104713462858033,2,8
id-okinawa-miyakojima-ishigaki,25.104713462858033,25.104713462858033,3,8
id-tpu,24.967699015370126,16.69692736636876,5,8
id-palapa-ring-east,24.58951618475194,14.00484147759538,18,8
id-apollo,24.44737400723665,21.418461259621242,4,8
id-interchange-cable-network-1-icn1,24.348911382212,17.757070355929642,2,8
id-tata-tgn-atlantic-south,24.28668746125479,23.55506967695464,2,8
id-minamidaito-island,23.94476925577718,23.94476925577718,2,8
id-havfrueaec-2,23.55506967695464,23.55506967695464,4,8
id-sistem-kabel-rakyat-1malaysia-skr1m,22.55850634473708,9.229608788681245,6,8
id-penbal-4,21.474010648592813,14.458019334601701,3,8
id-gemini-bermuda,21.418461259621242,21.418461259621242,2,8
id-emc-west-2,20.115905514296216,9.274811547507042,4,8
id-cat-submarine-network-csn,20.037323257209778,18.97598279034445,2,8
id-safe,19.90640993558622,7.9893689139705595,6,8
id-taiwan-strait-express-1-tse-1,19.785942691236023,19.118751206724557,2,8
id-maroc-telecom-west-africa,19.67485830964723,12.081840988883966,6,8
id-balalink,19.631187089581495,14.458019334601701,2,8
id-bulikula,19.24965554168542,12.657814515403064,7,8
id-seax-1,19.169326292927174,9.593249307641026,3,8
id-lfon-libyan-fiber-optic-network,19.162906107185993,15.832645530075643,13,8
id-sjjk,18.667148167522157,14.06835096732345,5,8
id-pan-american-crossing-pac,18.32020545630744,8.311124076843198,5,8
id-apollo-east-and-west,18.159058046489967,11.5695517228451,2,8
id-carnival-submarine-network-1-csn-1,17.822099392440407,8.166353214179747,6,8
id-tamtam,17.757070355929642,17.757070355929642,2,8
id-venezuelan-festoon,17.623447921315318,6.759521047502115,12,8
id-thetis,17.578750954589964,5.599615515114936,20,8
id-insica,17.514395462385707,11.364969505366393,2,8
id-umo,17.482014724036336,11.364969505366393,2,8
id-pgascom,17.021686294791685,10.349077877710561,3,8
id-whidbey-island-seattle,16.868728298650414,12.122865758904574,2,8
id-lake-tanganyika,16.84335338337435,15.461817872281426,2,8
id-russia-japan-cable-network-rjcn,16.76334724049295,16.76334724049295,2,8
id-awashima-murakami,16.664539041153013,9.100564996617107,2,8
id-raman,16.65882436264391,11.202855108498106,6,8
id-romulo,16.63336180498154,12.413733807657248,2,8
id-monet,16.50464119798272,12.228992981805018,3,8
id-tikal-amx3,15.978065848218913,10.124270174038879,3,8
id-nongsa-changi,15.853428081559024,9.158920243317862,2,8
id-andromeda,15.672629178800559,11.5695517228451,5,8
id-batam-singapore-cable-system-bscs,15.621969074946836,9.456882121591429,2,8
id-moratelindo-international-cable-system-1-mic-1,15.621969074946836,9.456882121591429,2,8
id-sape-labuan-bajo-ende-kupang,15.521245189524773,11.78329895585242,4,8
id-strategic-evolution-underwater-link-seul,15.290984716960159,8.219681764880344,2,8
id-caribbean-regional-communications-infrastructure-program-carcip,15.269026716427998,7.213752244979532,9,7
id-gondwana-2picot-2,15.225608315628461,6.5918410262823555,7,7
id-halaihai,15.154718076652392,15.154718076652392,5,7
id-australia-japan-cable-ajc,15.069359034337158,5.748286758488508,6,7
id-link-1-phase-1,14.872067881669881,7.796310630257841,2,7
id-medloop,14.777217953329709,7.271609358421046,4,7
id-djibouti-africa-regional-express-1-dare-1,14.751535141255593,7.017005023434473,4,7
id-dos-continentes-l-ll,14.71487032056056,3.917899178756203,4,7
id-pacific-crossing-1-pc-1,14.694306683948682,5.92682229573143,4,7
id-gtmo-1,14.423555712794915,7.888905268334307,2,7
id-link-2-phase-1,14.27571294315026,14.126548279186574,2,7
id-batam-rengit-cable-system-brcs,14.23026455193753,8.065128136770136,2,7
id-tasman-ring-network,14.08178966041191,7.237464459866656,6,7
id-turcyos-2,13.884580548161164,13.884580548161164,2,7
id-honomoana,13.787430764850122,7.237464459866656,6,7
id-carnival-submarine-network-2-csn-2,13.751910165244372,13.751910165244372,2,7
id-new-cam-ring,13.693029840688352,4.594933898686102,6,7
id-american-1,13.464751880949226,12.122865758904574,5,7
id-i2i-cable-network-i2icn,13.376624801415453,11.364969505366393,2,7
id-trans-adriatic-express-tae,13.316367522864226,13.241728333493413,2,7
id-kumul-domestic-submarine-cable-system,13.3108238420775,4.358043321672424,15,7
id-senegal-horn-of-africa-regional-express-share-cable,13.243474389371833,10.991946819391702,2,7
id-hokkaido-akita-cable,13.2321778758906,13.2321778758906,2,7
id-kuwait-iran,12.711697634828298,6.933911355235035,4,7
id-guadeloupe-cable-des-iles-du-sud-gcis,12.594644545708814,4.9838208682290315,5,7
id-meltingpot-indianoceanic-submarine-system-metiss,12.402204568142572,5.9431246169326215,4,7
id-tannat,12.228992981805018,12.228992981805018,3,7
id-tata-tgn-gulf,12.103870504884956,5.544909655469345,6,7
id-java-kalimantan-sulawesi-jakasusi,12.030676094797201,8.626910700734438,3,7
id-tui-samoa,11.916199097248114,6.5918410262823555,6,7
id-cadmos,11.889128122102967,4.831128126088353,3,7
id-aden-djibouti,11.837447584360863,6.38147833021506,2,7
id-colombia-florida-subsea-fiber-cfx-1,11.757277966304356,4.275648216177705,4,7
id-coral-sea-cable-system-cs,11.755979836585833,4.770834085227773,6,7
id-ioema,11.544610214348666,5.670471785836626,7,7
id-tata-tgn-tata-indicom,11.468537417640489,9.456882121591429,2,7
id-italy-monaco,11.335628146370745,6.925259486298488,2,7
