,score,tier
id-n0r5ke-viking,0.0018888790154590524,6
id-emc-west-1,0.0018886646106870582,6
id-mednautilus-submarine-system,0.001875189798414008,6
id-paniolo-cable-network,0.001874064151911981,6
id-mataram-kupang-cable-system-mkcs,0.001859793150649691,6
id-australia-singapore-cable-asc,0.0018019946346196755,6
id-palapa-ring-middle,0.0017558215760242561,6
id-malaysia-cambodia-thailand-mct-cable,0.0017431368211700687,6
id-columbus-ii-b,0.0017373633070483893,6
id-falcon,0.0017342643473187223,6
id-carnival-submarine-network-1-csn-1,0.0017254959728898198,6
id-cadmos-2,0.0017130761110275114,6
id-taino-carib,0.0017018333734036032,6
id-greenland-connect,0.0016821946169772257,6
id-jakarta-surabaya-cable-system-jayabaya,0.0016434335974127483,6
id-fibre-in-gulf-fig,0.001640616049308588,6
id-dhiraagu-cable-network,0.0016370074599888263,6
id-jambi-batam-cable-system-jiba,0.001629139945946455,6
id-fiber-optic-gulf-fog,0.0016266655827514495,6
id-link-5-phase-2,0.0016217408793050797,6
id-saudi-vision,0.0016179092197943674,6
id-eastern-africa-submarine-system-eassy,0.001573855144981027,6
id-cayman-jamaica-fiber-system-cjfs,0.0015551733024763426,6
id-s-u-b-cable-system,0.0015528174524699655,6
id-silphium,0.0015311743817791545,6
id-tegopa,0.0015272186037262978,6
id-aletar,0.0014988875455258805,6
id-zeus,0.0014987434078640356,6
id-circe-north,0.0014987434078640356,6
id-e-llan,0.0014973020312455858,6
id-lanis-1,0.0014973020312455858,6
id-bodo-rost-cable,0.0014973020312455858,6
id-nzadi-cable-system,0.001494323186234123,6
id-chuuk-pohnpei-cable,0.0014942270944595594,6
id-berytar,0.0014815549916890225,6
id-kumul-domestic-submarine-cable-system,0.0014748934294174206,6
id-caribbean-bermuda-u-s-cbus,0.0014248728561684866,6
id-domestic-submarine-cable-of-maldives-dscom,0.0014072520270079385,6
id-avassa,0.0013600589542255301,6
id-junior,0.001335939918810138,6
id-gulf2africa-g2a,0.0013318640260390768,6
id-venezuelan-festoon,0.0013229074718849882,6
id-unityeac-pacific,0.001305253010603343,6
id-canalink,0.0013018513617838016,6
id-epic-malta-sicily-cable-system-emscs,0.0012991127462087472,5
id-italy-malta,0.0012991127462087472,5
id-gemini-bermuda,0.001280879331985358,5
id-terra-sw,0.0012757423530733623,5
id-arctic-way,0.0012481841056901897,5
id-connected-coast,0.0012327282775948707,5
id-malbec,0.0012161855447606056,5
id-north-west-cable-system,0.0011981747431482881,5
id-sistem-kabel-rakyat-1malaysia-skr1m,0.001159651550725855,5
id-asia-link-cable-alc,0.0011454139527947236,5
id-cadmos,0.0011420507406850076,5
id-oteglobe-kokkini-bari,0.0011285018004715801,5
id-antillas-1,0.0011264358273184686,5
id-bahamas-domestic-submarine-network-bdsni,0.0011258208399612636,5
id-ulysses-2,0.0011237692805743367,5
id-scylla,0.0011237692805743367,5
id-balalink,0.0011237692805743367,5
id-mauritius-and-rodrigues-submarine-cable-system-mars,0.0011218234221394296,5
id-gc-lnz-fu-ring,0.001120502160239184,5
id-honotua,0.001101051583537993,5
id-palapa-ring-east,0.001087442852887059,5
id-azores-fiber-optic-system-afos,0.0010663441497254808,5
id-east-west-submarine-cable-system,0.001046458643349421,5
id-nongsa-changi,0.001031929567035448,5
id-chennai-andaman-nicobar-islands-cable-cani,0.001024429070187589,5
id-pishgaman-oman-iran-poi-network,0.0010053121454814092,5
id-philippine-domestic-submarine-cable-network-pdscn,0.0010036616964564859,5
id-qatar-u-a-e-submarine-cable-system,0.0009145894988218188,5
id-5-villages-6-islands,0.000906631231436804,5
id-saba-statia-cable-system-sscs,0.0008660078998969703,5
id-adria-1,0.00085579334426089,5
id-patara-2,0.0008382405801073241,5
id-fibra-optica-al-pacfico,0.0008193265158141116,5
id-omranepeg,0.000775345310596482,5
id-lfon-libyan-fiber-optic-network,0.0007596720029977086,5
id-aqualink,0.0007578705846113497,5
id-piano-isole-minori,0.0007568250159300015,5
id-rockabill,0.0007496599792557077,5
id-esat-2,0.0007496599792557077,5
id-penbal-4,0.0007491795203828912,5
id-havhingstenceltixconnect-2-cc-2,0.0007486510156227929,5
id-east-micronesia-cable-system-emcs,0.0007471135472297797,5
id-kuwait-iran,0.0007345255247619855,5
id-kochi-lakshadweep-islands-kli-sofc,0.0007086768374044536,5
id-brazilian-festoon,0.0006950180780200966,5
id-au-aleutian,0.0006865922021305306,5
id-jaka2ladema,0.000671666129513647,5
id-cambodia-hong-kong,0.0006687026591861142,5
id-caribbean-regional-communications-infrastructure-program-carcip,0.0006632254280360052,5
id-okinawa-remote-islands,0.000659915600245491,5
id-israel-coasting-1-ic-1,0.0006486606604914798,5
id-tasman-global-access-tga-cable,0.0006258457277308754,5
id-quintillion-subsea-cable-network,0.0006200161600740344,5
id-alba-1,0.0006149272998461187,5
id-tonga-domestic-cable-extension-tdce,0.0006062750363114802,5
id-taiwan-penghu-kinmen-matsu-no-3-tpkm3,0.0005909413515384965,5
id-boracay-palawan-submarine-cable-system-bpscs,0.0005763277144629075,5
id-x-link-submarine-cable,0.0005706410032442504,5
id-hawaii-inter-island-cable-system-hics,0.000569872269047744,5
id-galapagos-cable-system,0.0005615963649634784,5
id-greenland-connect-north,0.0005615963649634784,5
id-tverrlinken,0.0005615963649634784,5
id-kafos,0.0005615963649634784,5
id-romsar-2,0.0005615963649634784,5
id-ingrid,0.0005615603305480171,5
id-fibra-optica-austral,0.0005614161928861722,5
id-sjjk,0.000557778158301205,4
id-sint-maarten-puerto-rico-network-one-smpr-1,0.0005435911687046771,4
id-dhiraagu-slt-submarine-cable-network,0.0005125535255207261,4
id-tampnet-north,0.0004995811359546785,4
id-exa-express,0.0004995811359546785,4
id-tokelau-submarine-cable,0.000499420982997073,4
id-bicentenario,0.00049122115156767,4
id-unisur,0.00049122115156767,4
id-jscfs,0.0004850953009392587,4
id-link-4-phase-2,0.000480439654461666,4
id-timor-leste-south-submarine-cable-tlssc,0.0004756542840884129,4
id-labuan-brunei-submarine-cable,0.00044644238462116485,4
id-tannat,0.00043925151682467674,4
id-denpasar-waingapu-cable-systems,0.0004385436407520603,4
id-san-andres-isla-tolu-submarine-cable-sait,0.00042282783102223006,4
id-java-kalimantan-sulawesi-jakasusi,0.00041687814864718476,4
id-skagenfiber-west,0.0003867934155609867,4
id-emerald-bridge-fibres,0.00037497412728969883,4
id-pan-european-crossing-uk-belgium,0.00037497412728969883,4
id-pencan-9,0.00037497412728969883,4
id-aec-1,0.00037497412728969883,4
id-corse-continent-5-cc5,0.00037497412728969883,4
id-havhingstennorth-sea-connect-nsc,0.00037497412728969883,4
id-concerto,0.00037497412728969883,4
id-italy-monaco,0.00037497412728969883,4
id-cobracable,0.00037497412728969883,4
id-carnival-submarine-network-2-csn-2,0.00037497412728969883,4
