cable_key,risk_score,max_lp_risk,landing_points,risk_tier,importance_score,importance_tier,base_cost,baseline_material,baseline_reliability_tier,baseline_failure_factor,baseline_expected_cost,importance_material,importance_reliability_tier,importance_failure_factor,importance_expected_cost,sensitivity_material,sensitivity_reliability_tier,sensitivity_failure_factor,sensitivity_expected_cost,combined_material,combined_reliability_tier,combined_failure_factor,combined_expected_cost
id-barat-timur-indonesia-2-bti-2,78.39851721743956,29.93780591710608,14,10,0.0080493141888867,9,14000000,Stainless_steel,6,0.5,7000000.0,CFRP,10,0.1,1400000.0,CFRP,10,0.1,1400000.0,CFRP,10,0.1,1400000.0
id-tabua,76.91076663059786,38.45988189579043,6,10,0.0108070350966238,9,6000000,Stainless_steel,6,0.5,3000000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0
id-sat-3wasc,75.72704479090865,30.285425846814075,12,10,0.0041811733215665,7,12000000,Stainless_steel,6,0.5,6000000.0,Titanium_alloys,9,0.2,2400000.0,Titanium_alloys,9,0.2,2400000.0,CFRP,10,0.1,1200000.0
id-south-american-crossing-sac,75.06092710860021,30.203182496939053,11,10,0.0100641239630015,9,11000000,Stainless_steel,6,0.5,5500000.0,CFRP,10,0.1,1100000.0,CFRP,10,0.1,1100000.0,CFRP,10,0.1,1100000.0
id-africa-coast-to-europe-ace,74.84015210817624,13.239046567622946,18,10,0.0034417884891492,7,18000000,Stainless_steel,6,0.5,9000000.0,Titanium_alloys,9,0.2,3600000.0,Titanium_alloys,9,0.2,3600000.0,CFRP,10,0.1,1800000.0
id-tam-1,74.65415613212278,38.41312501796746,11,10,0.0058885869335907,8,11000000,Stainless_steel,6,0.5,5500000.0,Titanium_alloys,9,0.2,2200000.0,Titanium_alloys,9,0.2,2200000.0,CFRP,10,0.1,1100000.0
id-celia,72.17508655843153,38.41312501796746,5,10,0.0096774314438038,9,5000000,Stainless_steel,6,0.5,2500000.0,CFRP,10,0.1,500000.0,CFRP,10,0.1,500000.0,CFRP,10,0.1,500000.0
id-crosslake-fibre,69.95522203857307,63.88215151278178,2,10,0.0,1,2000000,Stainless_steel,6,0.5,1000000.0,Stainless_steel,6,0.5,1000000.0,Stainless_steel,6,0.5,1000000.0,CFRP,10,0.1,200000.0
id-flag-atlantic-1-fa-1,69.10061288755382,43.23824878715324,4,10,0.0,1,4000000,Stainless_steel,6,0.5,2000000.0,Stainless_steel,6,0.5,2000000.0,Stainless_steel,6,0.5,2000000.0,CFRP,10,0.1,400000.0
id-sea-h2x,68.95968495002876,24.484307513520445,6,10,0.0095589406765898,9,6000000,Stainless_steel,6,0.5,3000000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0
id-brusa,68.61630751490651,38.41312501796746,4,10,0.0124192492772457,9,4000000,Stainless_steel,6,0.5,2000000.0,CFRP,10,0.1,400000.0,CFRP,10,0.1,400000.0,CFRP,10,0.1,400000.0
id-jasuka,67.92589327688555,36.65033893024727,7,10,0.0082530877787653,9,7000000,Stainless_steel,6,0.5,3500000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0
id-taino-carib,67.56623228043163,36.16689078656794,3,10,0.0017018333734036,6,3000000,Stainless_steel,6,0.5,1500000.0,Nickel_superalloys,8,0.3,900000.0,Nickel_superalloys,8,0.3,900000.0,CFRP,10,0.1,300000.0
id-asia-america-gateway-aag-cable-system,67.52179122923096,26.754397617401867,10,10,0.0063432746039625,8,10000000,Stainless_steel,6,0.5,5000000.0,Titanium_alloys,9,0.2,2000000.0,Titanium_alloys,9,0.2,2000000.0,CFRP,10,0.1,1000000.0
id-flag-north-asia-loopreach-north-asia-loop,67.36729439521251,25.71619599251084,4,10,0.0099682964408183,9,4000000,Stainless_steel,6,0.5,2000000.0,CFRP,10,0.1,400000.0,CFRP,10,0.1,400000.0,CFRP,10,0.1,400000.0
id-asia-submarine-cable-express-asecahaya-malaysia,67.01441786393309,24.484307513520445,6,10,0.0077776602255068,9,6000000,Stainless_steel,6,0.5,3000000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0,CFRP,10,0.1,600000.0
id-sea-us,65.69444335310321,31.011495704979687,7,10,0.0091744719956035,9,7000000,Stainless_steel,6,0.5,3500000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0
id-southeast-asia-japan-cable-sjc,65.23471723512597,24.76090740139623,6,10,0.0066962962450473,8,6000000,Stainless_steel,6,0.5,3000000.0,Titanium_alloys,9,0.2,1200000.0,Titanium_alloys,9,0.2,1200000.0,CFRP,10,0.1,600000.0
id-balok,64.82965571810718,39.46541896949385,2,10,1.441376618449736e-06,3,2000000,Stainless_steel,6,0.5,1000000.0,GFRP,7,0.4,800000.0,GFRP,7,0.4,800000.0,CFRP,10,0.1,200000.0
id-jaka2ladema,63.77861726876806,36.78185574181616,10,10,0.0006716661295136,5,10000000,Stainless_steel,6,0.5,5000000.0,Nickel_superalloys,8,0.3,3000000.0,Nickel_superalloys,8,0.3,3000000.0,CFRP,10,0.1,1000000.0
id-brazilian-festoon,60.483710578205645,30.203182496939053,14,10,0.00069501807802,5,14000000,Stainless_steel,6,0.5,7000000.0,Nickel_superalloys,8,0.3,4200000.0,Nickel_superalloys,8,0.3,4200000.0,CFRP,10,0.1,1400000.0
id-peace-cable,59.49752844891725,27.63561423363544,14,10,0.0077634946964066,9,14000000,Stainless_steel,6,0.5,7000000.0,CFRP,10,0.1,1400000.0,CFRP,10,0.1,1400000.0,CFRP,10,0.1,1400000.0
id-prat,59.34481855163408,16.341676398804992,12,10,0.0028887629766336,7,12000000,Stainless_steel,6,0.5,6000000.0,Titanium_alloys,9,0.2,2400000.0,Titanium_alloys,9,0.2,2400000.0,CFRP,10,0.1,1200000.0
id-ice-iv,58.48235190125341,36.65033893024727,7,10,0.0067930020918081,8,7000000,Stainless_steel,6,0.5,3500000.0,Titanium_alloys,9,0.2,1400000.0,Titanium_alloys,9,0.2,1400000.0,CFRP,10,0.1,700000.0
id-new-cross-pacific-ncp-cable-system,57.73072139618839,21.41895774323217,7,10,0.0166675781657853,10,7000000,Stainless_steel,6,0.5,3500000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0,CFRP,10,0.1,700000.0
id-link-3-phase-2,57.64658894444756,34.32046642979292,3,10,0.0018989015877372,6,3000000,Stainless_steel,6,0.5,1500000.0,Nickel_superalloys,8,0.3,900000.0,Nickel_superalloys,8,0.3,900000.0,CFRP,10,0.1,300000.0
id-pacific-caribbean-cable-system-pccs,57.29251256492063,38.41312501796746,9,10,0.0080406233742472,9,9000000,Stainless_steel,6,0.5,4500000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0
id-africa-1,55.85478384300583,27.63561423363544,11,10,0.0058857347550093,8,11000000,Stainless_steel,6,0.5,5500000.0,Titanium_alloys,9,0.2,2200000.0,Titanium_alloys,9,0.2,2200000.0,CFRP,10,0.1,1100000.0
id-pacific-light-cable-network-plcn,55.28972830075488,30.70410732280024,3,10,0.0155653780567514,10,3000000,Stainless_steel,6,0.5,1500000.0,CFRP,10,0.1,300000.0,CFRP,10,0.1,300000.0,CFRP,10,0.1,300000.0
id-jakarta-bangka-bintan-batam-singapore-b3js,55.1221552924338,36.65033893024727,6,10,0.0067920436907518,8,6000000,Stainless_steel,6,0.5,3000000.0,Titanium_alloys,9,0.2,1200000.0,Titanium_alloys,9,0.2,1200000.0,CFRP,10,0.1,600000.0
id-imewe,54.792338911017,27.63561423363544,9,10,0.0089159820714956,9,9000000,Stainless_steel,6,0.5,4500000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0,CFRP,10,0.1,900000.0
